State,tot_pop_2017,hispanic_any,nh_white,nh_black,nh_asian,nh_american_indian,density_p_mi2_2020,tot_pop_2020,landArea_mi,density_p_mi2_2017,Year
PA,12805537,938428,9780941,1367815,442425,14498,286.5449,12820878,44743,286.2020204,2019
RI,1059639,163346,763670,57196,37798,3134,1021.4323,1056161,1034,1024.795938,2019
SC,5024369,285990,3197812,1344741,74889,12370,173.3174,5210095,30061,167.1391171,2019
SD,869666,31278,715927,16345,10612,74563,11.9116,903027,75811,11.4715015,2019
TN,6715984,361203,4962226,1115187,118312,13699,167.2748,6897576,41235,162.8709591,2019
TX,28304596,11158751,11855092,3330204,1344963,71859,112.8204,29472295,261232,108.3504165,2019
UT,3101833,434290,2428495,35689,74530,30073,39.943,3282115,82170,37.74897164,2019
VT,623657,11932,578706,7731,11073,1971,68.1416,628061,9217,67.66377346,2019
VA,8470020,790662,5226540,1595039,539382,20568,218.4403,8626207,39490,214.4851861,2019
WA,7405743,940792,5077103,262211,625939,75535,117.3272,7797095,66456,111.43829,2019
WV,1815857,22807,1670509,71358,13695,2391,73.9691,1778070,24038,75.54110159,2019
WI,5795483,397847,4706315,362314,158583,44664,108.0497,5851754,54158,107.010654,2019
WY,579315,58122,486586,5154,4586,12341,5.84,567025,97093,5.966599034,2019
AL,4874747,201970,3191450,1302295,65494,22209,96.9221,4908621,50645,96.25327278,2020
AK,739795,51712,448081,21192,48569,105146,1.2863,734002,570641,1.296428052,2020
AZ,7016270,2202173,3836639,290379,225810,274496,64.955,7378494,113594,61.76620244,2020
AR,3004279,223764,2173307,455500,46583,16901,58.403,3038999,52035,57.73573556,2020
CA,39536653,15477306,14616636,2164239,5679986,147880,256.3727,39937489,155779,253.7996328,2020
CO,5607154,1206724,3822055,219500,176176,32102,56.4011,5845526,103642,54.1011752,2020
CT,3588184,578833,2393694,354320,162564,7486,735.8689,3563077,4842,741.0541099,2020
DE,961939,89540,597917,206690,38404,2344,504.3073,982895,1949,493.5551565,2020
DC,693972,76526,253416,314705,28056,1574,11814.541,720687,61,11376.59016,2020
FL,20984400,5370860,11288419,3224452,578136,42654,410.1256,21992985,53625,391.3174825,2020
GA,10429379,1001472,5487048,3245371,408067,18335,186.6719,10736059,57513,181.3395059,2020
HI,1427538,150125,310584,22629,532881,1659,219.9419,1412687,6423,222.2540869,2020
ID,1716943,213619,1407302,10947,22698,19136,22.0969,1826156,82643,20.77541958,2020
IL,12802023,2206927,7834272,1790512,689701,12784,228.0243,12659682,55519,230.588141,2020
IN,6666818,461618,5278785,613080,146611,9694,188.281,6745354,35826,186.0888182,2020
IA,3145711,185746,2701250,103989,80937,7825,56.9284,3179849,55857,56.31722076,2020
KS,2913123,345510,2210739,161148,85386,17617,35.5968,2910357,81759,35.63060947,2020
KY,4454189,155163,3769995,355829,64381,6882,113.9566,4499692,39486,112.8042597,2020
LA,4684333,243620,2739086,1505991,83959,21942,107.5175,4645184,43204,108.423595,2020
ME,1335907,21899,1247090,15761,15141,8225,43.6336,1345790,30843,43.31313426,2020
MD,6052177,612709,3066146,1776692,389297,11879,626.6731,6083116,9707,623.485835,2020
MA,6859819,811292,4906564,477846,450311,9439,894.4355,6976597,7800,879.4639744,2020
MI,9962311,504398,7476534,1359264,306376,45421,177.6655,10045029,56539,176.202462,2020
MN,5576606,296666,4455056,356949,272228,53674,71.5922,5700671,79627,70.03410903,2020
MS,2984100,86035,1688447,1130323,27467,13240,63.7056,2989260,46923,63.59567803,2020
MO,6113532,255803,4854821,694270,123227,21332,89.7453,6169270,68742,88.93445055,2020
MT,1050493,38933,906221,4380,7182,62126,7.4668,1086759,145546,7.217601308,2020
NE,1920076,209917,1517634,87147,46837,12823,25.4161,1952570,76824,24.99317921,2020
NV,2998039,864663,1462301,265472,249834,27991,28.5993,3139658,109781,27.30927027,2020
NH,1342795,50393,1212790,18023,35602,1500,153.1605,1371246,8953,149.9826874,2020
NJ,9005644,1840433,4939479,1148321,882064,9074,1215.1991,8936574,7354,1224.591243,2020
NM,2088070,1018344,780688,38022,27514,182991,17.285,2096640,121298,17.21438111,2020
NY,19849399,3811654,10936578,2846481,1718948,41752,412.5211,19440469,47126,421.1984679,2020
NC,10273419,962466,6472902,2175617,293050,111317,218.2702,10611862,48618,211.3089596,2020
ND,755393,26479,637291,22830,12699,40745,11.0393,761723,69001,10.94756598,2020
OH,11658609,436762,9204374,1421030,256437,17866,287.5038,11747694,40861,285.3236338,2020
OK,3930864,417708,2576937,283068,84404,288580,57.6547,3954821,68595,57.30540127,2020
OR,4142776,540924,3132752,74345,180042,38855,44.8086,4301089,95988,43.15931158,2020
PA,12805537,938428,9780941,1367815,442425,14498,286.5449,12820878,44743,286.2020204,2020
RI,1059639,163346,763670,57196,37798,3134,1021.4323,1056161,1034,1024.795938,2020
SC,5024369,285990,3197812,1344741,74889,12370,173.3174,5210095,30061,167.1391171,2020
SD,869666,31278,715927,16345,10612,74563,11.9116,903027,75811,11.4715015,2020
TN,6715984,361203,4962226,1115187,118312,13699,167.2748,6897576,41235,162.8709591,2020
TX,28304596,11158751,11855092,3330204,1344963,71859,112.8204,29472295,261232,108.3504165,2020
UT,3101833,434290,2428495,35689,74530,30073,39.943,3282115,82170,37.74897164,2020
VT,623657,11932,578706,7731,11073,1971,68.1416,628061,9217,67.66377346,2020
VA,8470020,790662,5226540,1595039,539382,20568,218.4403,8626207,39490,214.4851861,2020
WA,7405743,940792,5077103,262211,625939,75535,117.3272,7797095,66456,111.43829,2020
WV,1815857,22807,1670509,71358,13695,2391,73.9691,1778070,24038,75.54110159,2020
WI,5795483,397847,4706315,362314,158583,44664,108.0497,5851754,54158,107.010654,2020
WY,579315,58122,486586,5154,4586,12341,5.84,567025,97093,5.966599034,2020
